t_stamp, tss, j_cost 
511.101000, 0.303000, 0.046988 
513.001000, 0.411000, 0.048743 
514.901000, 0.291000, 0.049133 
516.801000, 0.402000, 0.049899 
518.701000, 0.307000, 0.048848 
520.601000, 0.451000, 0.048764 
522.501000, 0.407000, 0.049885 
526.301000, 0.299000, 0.049543 
530.101000, 0.457000, 0.048711 
532.001000, 0.281000, 0.047925 
533.901000, 0.437000, 0.048979 
535.801000, 0.464000, 0.048852 
537.701000, 0.365000, 0.049058 
539.601000, 0.436000, 0.050164 
541.501000, 0.402000, 0.048421 
543.401000, 0.282000, 0.048015 
545.301000, 0.400000, 0.048895 
547.201000, 0.375000, 0.049426 
549.101000, 0.286000, 0.048048 
551.001000, 0.447000, 0.049694 
552.901000, 0.427000, 0.049254 
554.801000, 0.292000, 0.048891 
556.701000, 0.284000, 0.050024 
558.601000, 0.406000, 0.049406 
560.501000, 0.407000, 0.048964 
562.401000, 0.425000, 0.049294 
564.301000, 0.385000, 0.049493 
566.201000, 0.414000, 0.049585 
570.001000, 0.440000, 0.049116 
571.901000, 0.294000, 0.048684 
573.801000, 0.373000, 0.050282 
575.701000, 0.375000, 0.048611 
577.601000, 0.439000, 0.049269 
579.501000, 0.295000, 0.047054 
583.301000, 0.289000, 0.049004 
585.201000, 0.280000, 0.047361 
589.001000, 0.310000, 0.049206 
590.901000, 0.293000, 0.049393 
592.801000, 0.299000, 0.047485 
594.701000, 0.363000, 0.048372 
596.601000, 0.417000, 0.049071 
598.501000, 0.430000, 0.049518 
600.401000, 0.470000, 0.049447 
602.301000, 0.430000, 0.049051 
604.201000, 0.365000, 0.049802 
606.101000, 0.280000, 0.048779 
608.001000, 0.378000, 0.048378 
609.901000, 0.312000, 0.049550 
611.801000, 0.383000, 0.049022 
613.701000, 0.336000, 0.049091 
615.601000, 0.439000, 0.049492 
617.501000, 0.394000, 0.049131 
621.301000, 0.324000, 0.049090 
625.101000, 0.422000, 0.049251 
627.001000, 0.294000, 0.047801 
628.901000, 0.444000, 0.049322 
630.801000, 0.503000, 0.049101 
632.701000, 0.383000, 0.049517 
634.601000, 0.386000, 0.049247 
636.501000, 0.388000, 0.050005 
638.401000, 0.318000, 0.050168 
640.301000, 0.411000, 0.049625 
642.201000, 0.415000, 0.049400 
644.101000, 0.308000, 0.048888 
646.001000, 0.501000, 0.049130 
647.901000, 0.439000, 0.049258 
649.801000, 0.342000, 0.050583 
651.701000, 0.295000, 0.049119 
653.601000, 0.389000, 0.049189 
655.501000, 0.428000, 0.049493 
657.401000, 0.432000, 0.049182 
659.301000, 0.358000, 0.049078 
661.201000, 0.402000, 0.049316 
665.001000, 0.443000, 0.049215 
666.901000, 0.306000, 0.048848 
668.801000, 0.350000, 0.049715 
670.701000, 0.363000, 0.049190 
672.601000, 0.432000, 0.049225 
674.501000, 0.299000, 0.048148 
678.301000, 0.279000, 0.047802 
680.201000, 0.290000, 0.049179 
684.001000, 0.307000, 0.048615 
685.901000, 0.275000, 0.048735 
687.801000, 0.324000, 0.048848 
689.701000, 0.394000, 0.048485 
691.601000, 0.443000, 0.049687 
693.501000, 0.454000, 0.049273 
695.401000, 0.449000, 0.049202 
697.301000, 0.467000, 0.049468 
699.201000, 0.373000, 0.048600 
701.101000, 0.301000, 0.050258 
703.001000, 0.408000, 0.049410 
704.901000, 0.294000, 0.050031 
706.801000, 0.412000, 0.049149 
708.701000, 0.291000, 0.047632 
710.601000, 0.446000, 0.049406 
712.501000, 0.404000, 0.049402 
716.301000, 0.297000, 0.048087 
720.101000, 0.447000, 0.049081 
722.001000, 0.324000, 0.050818 
723.901000, 0.437000, 0.049006 
725.801000, 0.445000, 0.048920 
727.701000, 0.372000, 0.048712 
729.601000, 0.415000, 0.049572 
731.501000, 0.363000, 0.049108 
733.401000, 0.296000, 0.047503 
735.301000, 0.427000, 0.048888 
737.201000, 0.415000, 0.049324 
739.101000, 0.334000, 0.049359 
741.001000, 0.452000, 0.049121 
742.901000, 0.431000, 0.049504 
744.801000, 0.290000, 0.049482 
746.701000, 0.319000, 0.049119 
748.601000, 0.403000, 0.049305 
750.501000, 0.410000, 0.049165 
752.401000, 0.445000, 0.048900 
754.301000, 0.354000, 0.048693 
756.201000, 0.420000, 0.049537 
760.001000, 0.460000, 0.049167 
761.901000, 0.328000, 0.049251 
763.801000, 0.377000, 0.049195 
